"code_rome","code_fiche_metier","code_ogr","libelle_rome","transition_eco","transition_num","transition_demo","emploi_reglemente","emploi_cadre","code_rome_parent"
"E1207","32699","488782","Motion designer","Emploi Blanc","O","N","N","N","E1205"
"E1301","149","132","Conducteur / Conductrice de machines d'impression","Emploi Blanc","","","","","E1301"
"E1302","140","133","Conducteur / Conductrice de machines de façonnage routage","Emploi Blanc","","","","","E1302"
"E1303","153","134","Responsable d'atelier d'impression","Emploi Blanc","","","","","E1303"
"E1304","151","135","Agent / Agente de façonnage et routage","Emploi Blanc","","","","","E1304"
"E1305","145","136","Correcteur / Correctrice","Emploi Blanc","","","","","E1305"
"E1306","147","137","Opérateur / Opératrice de prépresse","Emploi Blanc","","","","","E1306"
"E1307","143","138","Reprographe","Emploi Blanc","","","","","E1307"
"E1308","154","139","Technicien / Technicienne des industries graphiques","Emploi Blanc","","","","","E1308"
"E1401","156","140","Chef / Cheffe de publicité","Emploi Blanc","","","","","E1401"
"E1402","157","141","Média Planneur / Planneuse","Emploi Blanc","","","","","E1402"
"F1101","161","142","Architecte","Emploi stratégique pour la Transition écologique","","","","","F1101"
"F1102","30040","143","Architecte d'intérieur","Emploi Blanc","N","N","N","O","F1102"
"F1103","169","144","Diagnostiqueur / Diagnostiqueuse immobilier","Emploi stratégique pour la Transition écologique","","","","","F1103"
"F1104","163","145","Dessinateur / Dessinatrice du BTP","Emploi stratégique pour la Transition écologique","","","","","F1104"
"F1105","172","146","Géologue","Emploi Vert","","","","","F1105"
"F1106","167","147","Ingénieur / Ingénieure d'études BTP","Emploi stratégique pour la Transition écologique","","","","","F1106"
"F1107","30043","148","Géomètre-topographe","Emploi Blanc","N","N","O","O","F1107"
"F1108","171","149","Métreur / Métreuse de la construction","Emploi Blanc","N","N","N","N","F1108"
"F1109","165","403075","Assistant / Assistante géomètre","Emploi Blanc","","","","","F1107"
"F1110","30024","403079","Dessinateur / Dessinatrice enveloppe du bâtiment","Emploi stratégique pour la Transition écologique","","","","","F1104"
"F1111","30041","403089","Ingénieur / Ingénieure génie civil","Emploi stratégique pour la Transition écologique","N","N","N","O","F1106"
"F1112","30042","403090","Ingénieur / Ingénieure calcul et structure","Emploi Blanc","N","N","N","O","F1106"
"F1113","30096","404537","Chargé / Chargée d'affaires en rénovation énergétique","Emploi Vert","","","","O","F1106"
"F1114","30097","404538","Conseiller / Conseillère en rénovation énergétique","Emploi Vert","","","O","","F1106"
"F1115","32560","488578","Vulcanologue","Emploi Vert","N","N","N","O","F1105"
"F1116","32571","488589","Ingénieur / Ingénieure démantèlement nucléaire","Emploi Vert","N","N","O","O","F1106"
"F1117","32572","488590","Ingénieur / Ingénieure d'étude CVC","Emploi Vert","N","N","N","O","F1106"
"F1118","32597","488615","Sismologue","Emploi Vert","N","N","N","O","F1105"
"F1119","32603","488621","Pédologue","Emploi Vert","N","N","N","O","F1105"
"F1120","32605","488623","Économiste de la construction","Emploi Blanc","N","N","N","N","F1108"
"F1121","32619","488637","Architecte du patrimoine national","Emploi Blanc","N","N","O","O","F1101"
"F1122","32636","488719","Ingénieur / Ingénieure Chantier nucléaire","Emploi stratégique pour la Transition écologique","N","N","O","O","F1106"
"F1123","32911","489200","Glaciologue","Emploi Vert","N","N","N","N","F1105"
"F1124","32753","488897","Hydrologue","Emploi Vert","N","N","N","O","F1105"
"F1125","32795","489011","BIM Manager","Emploi Vert","O","N","N","O","F1106"
"F1126","32893","489182","Collaborateur / Collaboratrice d'architecte","Emploi Blanc","N","N","N","N","F1104"
"F1201","30044","150","Conducteur / Conductrice de travaux","Emploi stratégique pour la Transition écologique","N","N","N","O","F1201"
"F1202","30045","151","Chef / Cheffe de chantier","Emploi stratégique pour la Transition écologique","N","N","N","O","F1202"
"F1203","180","152","Responsable d'exploitation de gisements et de carrières","Emploi Brun","","","","","F1203"
"F1204","174","153","Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP","Emploi Vert","","","","","F1204"
"F1205","178","403076","Responsable de travaux BTP","Emploi stratégique pour la Transition écologique","","","","","F1201"
"F1206","32931","489220","Chef / Cheffe d'équipe bâtiment","Emploi Blanc","N","N","N","N","F1202"
"F1207","32964","490402","Chef / Cheffe d'équipe travaux publics","Emploi Blanc","N","N","N","N","F1202"
